"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Council Resolution on the establishment of national systems for surveillance and control of the presence of radioactive materials in the recycling of metallic materials in the Member States","","32002G0522(01)","radioactive pollution, waste recycling, metal waste, EU Member State, environmental monitoring","Nuclear common market, Environment, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","2002-05-22",
"Commission Opinion of 24 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Brokdorf Nuclear Power Station KBR in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0501(01)","nuclear safety, Germany, radioactive effluent, nuclear power station","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-24",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Unterweser Nuclear Power Station KKU in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0424(03)","radiation protection, Germany, nuclear safety, radioactive effluent, radioactive waste, waste management, EU control","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-22",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste from the Socatri decontamination and uranium recovery plant (IARU) at the Tricastin site in France, pursuant to Article 37 of the Euratom Treaty","","32002A0424(01)","radioactive waste, radioactive effluent, France, internal border of the EU, Italy, nuclear safety, Spain, radiation protection, Germany","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-22",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Grohnde Nuclear Power Station KWG in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0424(02)","EU control, waste management, radioactive effluent, radioactive waste, nuclear safety, radiation protection, Germany","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-22",
"Commission opinion of 4 April 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Trawsfynydd Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0410(01)","nuclear power station, radioactive effluent, decommissioning of power stations, Ireland, United Kingdom, nuclear safety","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-04",
"Commission opinion of 4 April 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Berkeley Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0410(02)","France, nuclear power station, radioactive effluent, United Kingdom, nuclear safety, decommissioning of power stations","Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-04-04",
"Commission Decision of 11 December 2001 on the granting by Spain of aid to the coal industry in 2001 (Text with EEA relevance) (notified under document number C(2001) 3975)","","32002D0241","coal industry, Spain, aid system, financial aid, State aid, control of State aid","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","2001-12-11",
"Commission Decision of 2 October 2001 on German aid to the coal industry for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance) (notified under document number C(2001) 3005)","","32002D0171","coal industry, Germany, application of EU law, control of State aid, State aid","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2001-10-02",
"Commission Decision of 17 October 2001 authorising the United Kingdom to grant aid to two coal production units for 2000 and 2001 (Text with EEA relevance) (notified under document number C(2001) 3081)","","32002D0082","United Kingdom, State aid, control of State aid, mining operation, coal","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","2001-10-17",
"Commission opinion of 30 January 2002 concerning the plan for the disposal of radioactive waste from the Sizewell A Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0205(01)","nuclear power station, radioactive effluent, EU control, United Kingdom, nuclear safety","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-01-30",
"Commission opinion of 30 January 2002 concerning the plan for the disposal of radioactive waste from the modification of the Trillo I Nuclear Power Station in Spain, in accordance with Article 37 of the Euratom Treaty","","32002A0205(02)","nuclear safety, Spain, exchange of information, EU control, nuclear power station, radioactive effluent","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-01-30",
